sample_id,split,stage,point,local_x,local_y,local_z,observed_x,observed_y,observed_z,target_x,target_y,target_z,final_target_x,final_target_y,final_target_z
train_00002,train,2,C2,0.0,-229.81333293569338,192.83628290596184,1150.0578262279269,-229.79595827268406,192.7530840839599,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00002,train,2,C3,150.0,-52.0944533000791,-295.4423259036624,1299.9315588897593,-52.082907762773225,-295.5329310650059,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,3,A1,150.0,272.9560403143369,99.34787393758417,-749.96277145132,273.1017924238058,99.40517041672078,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,3,A2,0.0,-199.0241844506815,167.00111976792584,-900.0352628425818,-198.9061335729049,167.19016684412196,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,3,A3,-150.0,-34.45724202946934,-195.41673027589673,-1050.0232378255673,-34.339782304151974,-195.28676713291787,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,3,B1,-300.0,281.9077862357725,102.60604299770061,-300.05720046146195,281.9077845984824,102.60874515644346,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,3,B2,0.0,-229.81333293569338,192.83628290596184,0.04275121146107898,-229.80619063685984,192.90104652101226,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,3,B3,300.0,-52.0944533000791,-295.4423259036624,299.9705789670226,-52.09824919464627,-295.4600425308619,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,3,C1,-150.0,281.9077862357725,102.60604299770061,748.2285501964237,282.97225062786106,102.2552549350968,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00002,train,3,C2,0.0,-229.81333293569338,192.83628290596184,898.3923531678013,-228.65987426857092,192.52692813670927,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00002,train,3,C3,150.0,-52.0944533000791,-295.4423259036624,1048.3672779725857,-50.968942543658635,-295.7692412317634,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,4,A1,150.0,272.9560403143369,99.34787393758417,-749.3266199087201,272.9768928621691,99.37099807832568,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,4,A2,0.0,-199.0241844506815,167.00111976792584,-899.5946641255232,-198.88855889139066,167.04797488656436,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,4,A3,-150.0,-34.45724202946934,-195.41673027589673,-1049.4998942426078,-34.27014210702065,-195.40914725000272,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
